"","Rank","Title","Description","Runtime","Genre","Rating","Votes","Gross_in_Mil","Director","Actor","Meta_Score"
"1",1,"Once Upon a Time... in Hollywood","    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.",161,"Comedy",8,170696,132.2,"Quentin Tarantino","Leonardo DiCaprio",83
"2",2,"Star Wars: The Rise of Skywalker","    The surviving Resistance faces the First Order once more in the final chapter of the Skywalker saga.",NA,"Action",NA,NA,NA,"J.J. Abrams","Daisy Ridley",NA
"3",3,"Joker","    An original standalone origin story of the iconic villain not seen before on the big screen, it's a gritty character study of Arthur Fleck, a man disregarded by society, and a broader cautionary tale.",122,"Crime",9.6,9907,NA,"Todd Phillips","Joaquin Phoenix",75
"4",4,"It Chapter Two","    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",169,"Horror",7.3,18126,NA,"Andy Muschietti","Jessica Chastain",59
"5",5,"Ready or Not","    A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.",95,"Comedy",7.2,10534,23.4,"Matt Bettinelli-Olpin","Samara Weaving",63
"6",6,"Angel Has Fallen","    Secret Service Agent Mike Banning is framed for the attempted assassination of the President and must evade his own agency and the FBI as he tries to uncover the real threat.",121,"Action",6.7,11169,47.46,"Ric Roman Waugh","Gerard Butler",45
"7",7,"Terminator: Dark Fate","    Sarah Connor and a hybrid cyborg human must protect a young girl from a newly modified liquid Terminator from the future.",NA,"Action",NA,NA,NA,"Tim Miller","Mackenzie Davis",NA
"8",8,"Avengers: Endgame","    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action",8.6,547313,858.3,"Anthony Russo","Robert Downey Jr.",78
"9",9,"El Camino: A Breaking Bad Movie","    After escaping Jack and his gang, Jesse Pinkman goes on the run from the police and tries to escape his own inner turmoil.",NA,"Drama",NA,NA,NA,"Vince Gilligan","Aaron Paul",NA
"10",10,"The King","    Hal, wayward prince and heir to the English throne, is crowned King Henry V after his tyrannical father dies. Now the young king must navigate palace politics, the war his father left behind, and the emotional strings of his past life.",133,"Biography",7.1,186,NA,"David Michôd","Timothée Chalamet",67
"11",11,"Good Boys","    Three 6th grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",90,"Adventure",6.9,11252,61.46,"Gene Stupnitsky","Jacob Tremblay",60
"12",12,"Ad Astra","    Astronaut Roy McBride undertakes a mission across an unforgiving solar system to uncover the truth about his missing father and his doomed expedition that now, 30 years later, threatens the universe.",122,"Adventure",8,616,NA,"James Gray","Brad Pitt",81
