,created_at,screen_name,text
1,9/8/2019 7:58,VictoryAris,"@sejutatemanid Kalau begini #MenporaBisaApa @imam_nahrawi 
Cuma bilang oh harusnya lanjutin doank?
Bela kepentingan sponsor juga penting lah pak... Yg menuduh eksploitasi MAU ga gantiin biaya sponsor nya? @KPAI_official @lenteraanak_"
2,9/8/2019 7:58,Adiyooo,"@ganangtf @indosupporter @KPAI_official @lenteraanak_ Yo madang se to pak, bat ki ento misuh2"
3,9/8/2019 7:58,Officialatim,"Badminton itu bisa dibilang olahraga mahal. Buat beli raket, bayar pelatih, sewa tempat latihan. Tapi Djarum memberikan beasiswa untuk menjaga mimpi mereka. Kemudian dipatahkan oleh KPAI dan Lentera REDUP <U+0001F60C><U+0001F60C>"
4,9/8/2019 7:58,harsa84699286,"@freakcuk @lenteraanak_ Kalo sampe bulutangkis makin terpuruk maka KPAI Bertanggung jawab ...
#KPAImatiinbulutangkis"
5,9/8/2019 7:58,dwiarsyandi,"@KPAI_official PB Djarum dan Djarum Foundation itu diakui oleh Kementerian Hukum dan HAM. Status badan hukumnya jelas, nggak bisa sembarangan diganti. Kan bangsat betul sejarah 50 tahun perjuangan buat atlet Indonesia malah suruh ganti nama #PBDjarumJanganPamit"
6,9/8/2019 7:58,dwiarsyandi,@KPAI_official Kembali ke soal sponsorship. Di PP 109/2012 disebutkan bahwa kegiatan yang didanai perusahaan tidak boleh dimaksudkan untuk promosi produk rokok. #PBDjarumJanganPamit
7,9/8/2019 7:57,dwiarsyandi,"Kalau mau benar-benar menggunakan aturan hukum sebagai landasan, harusnya @KPAI_official lebih banyak belajar soal hukum dulu #PBDjarumJanganPamit"
8,9/8/2019 7:58,dwiarsyandi,"@KPAI_official Jelas tuntutan KPAI terkait sponsorship dan promosi di audisi PB Djarum mentah, karena pendanaan (sekali lagi) tidak menggunakan sponsoring dari PT Djarum #PBDjarumJanganPamit"
9,9/8/2019 7:58,caramellow_,"Bangun tidur..
Ada yg bikin petisi..

https://t.co/JfQ1RLtZJp"
10,9/8/2019 7:58,Finally_Miko,"Atas bubarnya Audisi Calon-Calon Juara Dunia Bulu Tangkis, dimohon teman-teman jangan terprovokasi ya!

Kita doakan saja KPAI nanti juga minta Penyelenggara bola Indonesia bubar karena menayangkan kekerasan yg ga mendidik. #TerimakasihKPAI https://t.co/CRO5u2sMyR"
11,9/8/2019 7:58,indraon3n1_9,@detikcom kenapa ini dibiarkan pak dhe @jokowi .... Cukup timnas sepak bola aja suram di kancah internasional... Badminton jangan... Bapak milih mana... @KPAI_official yg dibenahi ato pencarian bibit bulutangkis di stop..... Miris pak... Jngn buat indonesia tambah hancur....
12,9/8/2019 7:58,FahriHanan_,Padahal PB Djarum sudah diizinkan BWF (Badminton World Federation) yang merupakan skala dunia. Eh diprotes KPAI dan YLA yang hanya skala nasional/lokal. Pffttt
13,9/8/2019 7:58,yoyodoun,welcome to the clowntry<U+0001F921><U+0001F921><U+0001F921> @KPAI_official
14,9/8/2019 7:58,alleySych,"Apapun alasanya tp yg telah dilakukan @PBDjarum sudah memberikan kontribusi nyata bagi prestasi olahraga bulu tangkis kita.
Semoga stlah ini @KPAI_official bisa menjadi sponsor tetap dlm mencetak atlet bulu tangkis di Indonesia. Bagi pecinta Bulutangkis tolong <U+0001F449> RETUIT <U+0001F447> https://t.co/EKrRj2iHAR"
15,9/8/2019 7:58,GeraldDarongke,"Esemka produksi anak bangsa, dinyinyiri anggota dewan.

Audisi bukutangkis Djarum, agar anak berprestasi di ajang dunia, diprotes KPAI sampai berhenti.

Siaran Netflix dan internet mau diatur KPI.

Orang2 ini makan gaji dari pajak, prestasinya cuma menghancurkan bangsa ini."
16,9/8/2019 7:58,isidorusss,Aing mayoritas itu. KPAI bangsat. <U+0001F595><U+0001F3FB> https://t.co/6ygc8ET5ck
17,9/8/2019 7:58,ridhovespermfg,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
18,9/8/2019 7:58,Arandhytia_,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
19,9/8/2019 7:58,tweetspiring,Franda cocok jadi Ketua KPAI. #SoalNama
20,9/8/2019 7:58,rifforahmansyah,"Gara gara @KPAI_official @lenteraanak_ kintil

Siap siap Bulutangkis ikutan bapuk kaya sepak bola https://t.co/8pb2yyciT2"
21,9/8/2019 7:58,KefinRuliandaS,"@Linden_Dollar @hmmm0997 @suka_ngeyel @ViNAdeSilva @wongndeso213 @zoelfick @lenteraanak_ @PBDjarum @KPAI_official Ga muncul lagi nih? ga seru amat,nih baca https://t.co/4biUYTtzzI eksploitasi anak bisa kaya gini nih,keren"
22,9/8/2019 7:58,iminloveofcocho,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
23,9/8/2019 7:58,Hampura5,@liputan6dotcom Seneng dong @KPAI_official @lenteraanak_ <U+0001F60A>
24,9/8/2019 7:52,Hampura5,"""Kami tegaskan bahwa jangan seolah-olah KPAI yang melarang. Tapi harus dipahami bahwa aturanlah yang melarang,"" kata Ketua KPAI Susanto. https://t.co/Sa0nSucQ1u"
25,9/8/2019 7:58,MHendarwan,"Congrats @KPAI_official &amp; @lenteraanak_ , well played<U+0001F44C><U+0001F44A><U+0001F44F><U+0001F389><U+0001F38A> https://t.co/1BHudc4Bhq"
26,9/8/2019 7:58,gigihprila,"Esemka produksi anak bangsa, dinyinyiri anggota dewan.

Audisi bukutangkis Djarum, agar anak berprestasi di ajang dunia, diprotes KPAI sampai berhenti.

Siaran Netflix dan internet mau diatur KPI.

Orang2 ini makan gaji dari pajak, prestasinya cuma menghancurkan bangsa ini."
27,9/8/2019 7:57,gigihprila,"PB Djarum sudah mengalah, tapi KPAI menolak. KPAI sepertinya lebih menghargai anak-anak yang teriak-teriak bunuh dalam karnaval ketimbang dididik berprestasi.

KPAI digaji negara. Pakai duit pajak kita. Malah menggancurkan dunia bulutangkis kita. Bangke!

https://t.co/JXVTZKeA6c"
28,9/8/2019 7:46,quin_ingrid,@kangdede78 @PBDjarum @KPAI_official @lenteraanak_ Pak @jokowi  harus turun tangan nich mendukung @PBDjarum dan menegur @KPAI_official yang sok paling beneerrr..padahal..ngeeek
29,9/8/2019 7:58,quin_ingrid,"Lembaga @KPAI_official &amp; NGO Yayasan @lenteraanak_  lagi viral krn BERHASIL menutup @PBDjarum yg sdh melahirkan PULUHAN pebulutangkis dunia.

Ini salah dua<U+0001F600> “LIKE” akun Komisioner @KPAI_official sodari @SHikmawatty 

Beda pilihan politik sih biasa, cuma jejak digital saja.<U+0001F600> https://t.co/6NCh3ariyv"
30,9/8/2019 7:58,ambigram_agung,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
31,9/8/2019 7:58,VitaKurniaa,50 Tahun eksploitasi anak versi @lenteraanak_ @KPAI_official https://t.co/IFKkVHQDol
32,9/8/2019 7:57,bpriady,"Selamat ya, KPAI... atas prestasinya menghancurkan mimpi anak2 berprestasi calon juara dunia.

Mungkin KPAI yang mau ambil tanggung jawab utk pendanaan pelatihan mereka sekarang.. <U+2615><U+2615>

https://t.co/TWPx9b3YPd"
33,9/8/2019 7:58,bpriady,"@Dennysiregar7 @Usep210 @KPAI_official  punya kepentingan apa sbrnya di balik ini? Saat anak2 diajak demo kalian diam. Saat anak2 pawai obor smbil teriak bunuh2 klean ngapain

#bubarkanKPAI"
34,9/8/2019 7:57,bpriady,"@Dennysiregar7 @KPAI_official dan @lenteraanak_ akan tercatat di sejarah bangsa ini,  bertanggung jawab atas hilangnya kesempatan talenta anak2 beeprestasi di dunia bulu tangkis. 
Institusi unfaedah yang ngotot minta anggaran,  tapi ga ada kerjanya...
Tolol berjamaah."
35,9/8/2019 7:50,KadaLLL_kesit,"@PBDjarum Terima kasih PB Djarum. 
Semoga @lenteraanak_ dan @KPAI_official bisa mencari sumber beasiswa yg lain. 
.
.
.
.
.
Telek"
36,9/8/2019 7:55,KadaLLL_kesit,@PBDjarum @KPAI_official karepmu ki jane opo to mbut? Sampe badminton anjlok tak jaluk pertanggung jawaban mu ng akhirat https://t.co/vy4Bs6Ny97
